taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_orders.report,W133-25PVC-2-17_kraken2_bracken_orders.report,W132-25PVC-1-17_kraken2_bracken_orders.report,W131-25PET-3-17_kraken2_bracken_orders.report,W130-25PET-2-17_kraken2_bracken_orders.report,W129-25PET-1-17_kraken2_bracken_orders.report,W128-25PE0.6-3-17_kraken2_bracken_orders.report,W127-25PE0.6-2-17_kraken2_bracken_orders.report,W126-25PE0.6-1-17_kraken2_bracken_orders.report,W125-25S-3-17_kraken2_bracken_orders.report,W124-25S-2-17_kraken2_bracken_orders.report,W123-25S-1-17_kraken2_bracken_orders.report,Q66-25S-3-0_kraken2_bracken_orders.report,Q65-25S-2-0_kraken2_bracken_orders.report,Q64-25S-1-0_kraken2_bracken_orders.report,Q63-25PVC-3-11_kraken2_bracken_orders.report,Q62-25PVC-2-11_kraken2_bracken_orders.report,Q61-25PVC-1-11_kraken2_bracken_orders.report,Q60-25PET-3-11_kraken2_bracken_orders.report,Q59-25PET-2-11_kraken2_bracken_orders.report,Q58-25PET-1-11_kraken2_bracken_orders.report,Q57-25PE0.6-3-11_kraken2_bracken_orders.report,Q56-25PE0.6-2-11_kraken2_bracken_orders.report,Q55-25PE0.6-1-11_kraken2_bracken_orders.report,Q54-25S-3-11_kraken2_bracken_orders.report,Q53-25S-2-11_kraken2_bracken_orders.report,Q52-25S-1-11_kraken2_bracken_orders.report,Q51-25PVC-3-3_kraken2_bracken_orders.report,Q50-25PVC-2-3_kraken2_bracken_orders.report,Q49-25PVC-1-3_kraken2_bracken_orders.report,Q48-25PET-3-3_kraken2_bracken_orders.report,Q47-25PET-2-3_kraken2_bracken_orders.report,Q46-25PET-1-3_kraken2_bracken_orders.report,Q45-25PE0.6-3-3_kraken2_bracken_orders.report,Q44-25PE0.6-2-3_kraken2_bracken_orders.report,Q43-25PE0.6-1-3_kraken2_bracken_orders.report,Q42-25S-3-3_kraken2_bracken_orders.report,Q41-25S-2-3_kraken2_bracken_orders.report,Q40-25S-1-3_kraken2_bracken_orders.report,Q34-25PE0.1-2-11_kraken2_bracken_orders.report,Q33-25PE0.1-1-11_kraken2_bracken_orders.report,Q32-25PE0.1-2-3_kraken2_bracken_orders.report,Q31-25PE0.1-1-3_kraken2_bracken_orders.report
R,1,root,6651400.0,6562340.0,6365657.0,6189249.0,5290536.0,5571204.0,6434036.0,5798667.0,5607254.0,4799810.0,4264555.0,4350963.0,4415907.0,3779218.0,3853923.0,9520231.0,9067298.0,9360799.0,7220345.0,6037343.0,6952347.0,7907285.0,6592184.0,6904842.0,5678450.0,6225211.0,6300605.0,10398536.0,11591619.0,10280887.0,7220905.0,7420295.0,7140400.0,7153138.0,6705493.0,6141683.0,5930011.0,5844391.0,5778506.0,6860068.0,7010573.0,8252881.0,7157303.0
R2,2,    Bacteria,6604014.0,6505752.0,6310393.0,6121000.0,5227670.0,5508827.0,6351604.0,5740376.0,5558649.0,4737624.0,4207606.0,4294508.0,4319991.0,3694723.0,3766585.0,9484225.0,9033549.0,9325585.0,7167748.0,5998431.0,6908835.0,7855952.0,6549149.0,6863429.0,5631056.0,6172020.0,6254103.0,10355060.0,11544013.0,10225537.0,7168197.0,7377261.0,7088567.0,7099584.0,6651590.0,6093055.0,5870489.0,5786931.0,5718375.0,6814725.0,6960379.0,8203459.0,7097006.0
O,29,            Myxococcales,9073.0,16146.0,13973.0,34482.0,37643.0,38715.0,65384.0,41410.0,21829.0,35837.0,40459.0,40597.0,57218.0,44921.0,49031.0,5058.0,2997.0,4943.0,17941.0,13208.0,7070.0,17668.0,12166.0,7082.0,16627.0,21298.0,16033.0,13940.0,15589.0,22834.0,26024.0,10784.0,20285.0,22924.0,23119.0,20692.0,32289.0,30447.0,34022.0,12712.0,23100.0,10985.0,36330.0
O,112,              Planctomycetales,2154.0,2026.0,1971.0,1626.0,1770.0,1366.0,1540.0,1701.0,1305.0,1568.0,1397.0,1397.0,2248.0,3392.0,3337.0,1197.0,1561.0,1340.0,1249.0,1370.0,1251.0,1733.0,1276.0,1262.0,1261.0,1787.0,1285.0,774.0,768.0,920.0,861.0,919.0,981.0,1146.0,967.0,961.0,958.0,1148.0,973.0,1520.0,1498.0,1003.0,1088.0
O,136,            Spirochaetales,15.0,10.0,10.0,20.0,17.0,18.0,31.0,30.0,18.0,14.0,29.0,15.0,52.0,55.0,51.0,7.0,5.0,4.0,18.0,17.0,12.0,13.0,8.0,7.0,16.0,15.0,16.0,16.0,17.0,30.0,23.0,11.0,23.0,18.0,22.0,16.0,19.0,36.0,32.0,11.0,18.0,12.0,24.0
O,356,            Hyphomicrobiales,536274.0,546383.0,526272.0,686379.0,547771.0,575140.0,563677.0,488353.0,420311.0,303086.0,296918.0,282874.0,234335.0,222896.0,210128.0,605326.0,552875.0,583453.0,720188.0,584217.0,674939.0,710694.0,589397.0,610891.0,506336.0,546168.0,523894.0,348523.0,381450.0,410023.0,638043.0,661091.0,653374.0,689580.0,670809.0,613482.0,639520.0,637426.0,613871.0,598814.0,649850.0,734573.0,721942.0
O,766,            Rickettsiales,41.0,14.0,24.0,6.0,22.0,17.0,13.0,15.0,15.0,14.0,24.0,26.0,243.0,119.0,372.0,21.0,35.0,9.0,11.0,26.0,13.0,7.0,18.0,11.0,9.0,13.0,18.0,18.0,18.0,5.0,19.0,17.0,22.0,20.0,21.0,25.0,20.0,21.0,8.0,19.0,15.0,23.0,11.0
P,976,            Bacteroidota,107530.0,121444.0,138818.0,155297.0,146724.0,147706.0,91298.0,90051.0,127212.0,118345.0,90568.0,94582.0,138608.0,111059.0,105058.0,132034.0,166101.0,160944.0,185641.0,179734.0,231158.0,119173.0,99520.0,129478.0,85818.0,95680.0,114075.0,1096697.0,1425287.0,1121249.0,510569.0,433428.0,302243.0,215474.0,193537.0,140792.0,116131.0,115212.0,107084.0,101834.0,96392.0,391562.0,284802.0
P,1090,            Chlorobiota,28.0,20.0,19.0,30.0,35.0,21.0,52.0,41.0,25.0,55.0,24.0,26.0,68.0,52.0,77.0,9.0,8.0,8.0,14.0,20.0,17.0,10.0,5.0,8.0,8.0,20.0,9.0,13.0,13.0,25.0,27.0,16.0,6.0,28.0,19.0,13.0,46.0,34.0,21.0,14.0,28.0,25.0,34.0
P,1117,          Cyanobacteriota,5744.0,5563.0,7328.0,9317.0,10645.0,11247.0,10215.0,11125.0,11511.0,14685.0,12118.0,12181.0,28249.0,25376.0,25771.0,5486.0,5601.0,5630.0,9167.0,8737.0,9814.0,11367.0,9359.0,9598.0,10724.0,11767.0,11369.0,6166.0,6684.0,7894.0,8990.0,8314.0,10176.0,10497.0,11016.0,9247.0,11432.0,11300.0,11516.0,9144.0,9416.0,9999.0,9753.0
