taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
R,1,root,6649354.0,6561517.0,6364776.0,6187399.0,5288581.0,5570970.0,6431991.0,5798017.0,5606210.0,4797688.0,4263700.0,4349794.0,4414248.0,3777389.0,3852089.0,9518417.0,9065558.0,9359047.0,7218755.0,6035418.0,6950319.0,7905658.0,6590260.0,6902981.0,5676501.0,6223572.0,6298707.0,10396839.0,11589552.0,10278934.0,7218952.0,7418379.0,7138498.0,7151416.0,6703503.0,6140019.0,5928105.0,5842643.0,5776621.0,6858056.0,7008745.0,8251030.0,7155325.0
R2,2,    Bacteria,6601978.0,6503856.0,6308599.0,6119148.0,5225733.0,5506788.0,6349507.0,5737373.0,5556733.0,4735515.0,4205721.0,4292526.0,4318005.0,3692501.0,3764303.0,9482407.0,9031824.0,9323826.0,7165910.0,5996496.0,6906810.0,7853523.0,6547214.0,6861567.0,5629123.0,6170074.0,6252169.0,10353242.0,11542021.0,10223577.0,7166161.0,7375320.0,7086649.0,7097675.0,6649554.0,6091131.0,5868596.0,5785183.0,5716491.0,6812781.0,6958533.0,8201551.0,7095095.0
G,6,                Azorhizobium,,18.0,15.0,8.0,9.0,10.0,,17.0,10.0,16.0,17.0,,27.0,55.0,30.0,,,5.0,14.0,,,,,,21.0,8.0,13.0,10.0,8.0,5.0,15.0,,7.0,15.0,7.0,,9.0,39.0,,7.0,12.0,19.0,
S,7,                  Azorhizobium caulinodans,,18.0,15.0,8.0,9.0,10.0,,17.0,10.0,16.0,17.0,,27.0,55.0,30.0,,,5.0,14.0,,,,,,21.0,8.0,13.0,10.0,8.0,5.0,15.0,,7.0,15.0,7.0,,9.0,39.0,,7.0,12.0,19.0,
S,9,                  Buchnera aphidicola,,3.0,,5.0,9.0,8.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,16.0,,
G,10,                Cellvibrio,118.0,13.0,162.0,283.0,10.0,16.0,15.0,21.0,10.0,9.0,6.0,23.0,45.0,46.0,30.0,69.0,26.0,111.0,119.0,28.0,34.0,45.0,58.0,119.0,20.0,20.0,23.0,20.0,15.0,12.0,439.0,29.0,223.0,38.0,66.0,,49.0,28.0,32.0,116.0,24.0,67.0,21.0
S,11,                  Cellulomonas gilvus,,,11.0,,,,,,18.0,,27.0,,58.0,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,16.0
G,16,                Methylophilus,3.0,,,,,,,,,,,,,9.0,,,,,,,,,,,6.0,,,,,5.0,,,,,,,,,,,,,
G,18,                Pelobacter,120.0,,70.0,331.0,1503.0,1480.0,2427.0,676.0,1867.0,838.0,1485.0,1207.0,2331.0,4186.0,2269.0,,26.0,56.0,733.0,239.0,,736.0,723.0,,447.0,748.0,,80.0,74.0,98.0,235.0,373.0,833.0,439.0,838.0,520.0,647.0,628.0,1171.0,361.0,266.0,204.0,938.0
S,19,                  Syntrophotalea carbinolica,,,3.0,10.0,10.0,6.0,8.0,,,18.0,,,21.0,16.0,21.0,,,,,4.0,,,7.0,4.0,,11.0,6.0,,4.0,7.0,7.0,,11.0,5.0,,11.0,,6.0,,4.0,,8.0,8.0
G,20,                Phenylobacterium,748.0,1081.0,1043.0,502.0,493.0,509.0,895.0,602.0,464.0,414.0,537.0,460.0,973.0,862.0,848.0,851.0,636.0,1118.0,566.0,474.0,588.0,824.0,683.0,579.0,487.0,614.0,730.0,1980.0,1686.0,4231.0,1244.0,1113.0,1107.0,1126.0,949.0,878.0,867.0,953.0,859.0,718.0,654.0,1129.0,784.0
G,22,                Shewanella,,716.0,82.0,24.0,,,49.0,,43.0,546.0,,26.0,318.0,241.0,442.0,,,28.0,119.0,28.0,62.0,,393.0,210.0,,18.0,34.0,200.0,154.0,131.0,66.0,,66.0,24.0,795.0,197.0,139.0,35.0,97.0,26.0,,117.0,
