taxonomy_id	lineage	Q31-25PE0.1-1-3_bracken_species	Q32-25PE0.1-2-3_bracken_species	Q33-25PE0.1-1-11_bracken_species	Q34-25PE0.1-2-11_bracken_species	Q40-25S-1-3_bracken_species	Q41-25S-2-3_bracken_species	Q42-25S-3-3_bracken_species	Q43-25PE0.6-1-3_bracken_species	Q44-25PE0.6-2-3_bracken_species	Q45-25PE0.6-3-3_bracken_species	Q46-25PET-1-3_bracken_species	Q47-25PET-2-3_bracken_species	Q48-25PET-3-3_bracken_species	Q49-25PVC-1-3_bracken_species	Q50-25PVC-2-3_bracken_species	Q51-25PVC-3-3_bracken_species	Q52-25S-1-11_bracken_species	Q53-25S-2-11_bracken_species	Q54-25S-3-11_bracken_species	Q55-25PE0.6-1-11_bracken_species	Q56-25PE0.6-2-11_bracken_species	Q57-25PE0.6-3-11_bracken_species	Q58-25PET-1-11_bracken_species	Q59-25PET-2-11_bracken_species	Q60-25PET-3-11_bracken_species	Q61-25PVC-1-11_bracken_species	Q62-25PVC-2-11_bracken_species	Q63-25PVC-3-11_bracken_species	Q64-25S-1-0_bracken_species	Q65-25S-2-0_bracken_species	Q66-25S-3-0_bracken_species	W123-25S-1-17_bracken_species	W124-25S-2-17_bracken_species	W125-25S-3-17_bracken_species	W126-25PE0.6-1-17_bracken_species	W127-25PE0.6-2-17_bracken_species	W128-25PE0.6-3-17_bracken_species	W129-25PET-1-17_bracken_species	W130-25PET-2-17_bracken_species	W131-25PET-3-17_bracken_species	W132-25PVC-1-17_bracken_species	W133-25PVC-2-17_bracken_species	W134-25PVC-3-17_bracken_species
33050	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;Sphingopyxis macrogoltabida	750350	1009294	824609	843375	603468	622245	642637	707119	771302	809171	783353	868304	704716	531499	589430	508709	694452	677237	645508	944014	845894	1009384	1092108	871814	981408	1055876	1110038	1120096	25068	23406	25667	226025	228073	267357	521800	537032	486083	709208	677667	858143	678755	680662	798456
1914525	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. FD7	29801	41953	37348	40040	24757	26387	26506	30052	32928	34586	33879	38390	28208	17539	19097	16877	36956	34164	32214	41039	37184	43994	43652	33032	40379	31827	31121	30874	1836	1743	2270	25438	22417	28595	29126	26023	22078	28017	26045	31492	22838	22272	22944
1908224	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp.	4801	7590	2755	3096	2913	3183	3085	4258	4507	5870	5185	6267	5128	19362	25816	24880	2060	2132	1780	2390	2627	3190	2702	1995	3194	14828	12743	14824	140	155	243	759	759	915	1602	1509	1209	911	907	1278	5158	5377	5877
1874061	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. EG6	22165	30820	7498	8530	14351	16525	16004	19916	22694	26878	22993	26466	24606	82779	104132	102352	5023	4930	4314	7735	8594	10136	8709	5414	12755	42469	35261	42742	1688	1483	2126	1886	2013	2557	4441	5102	4172	2202	2079	4325	11994	9725	10767
2486273	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. OPL5	3497	5769	2875	3572	1840	1971	2073	2808	3136	3855	3899	5009	4211	17096	24416	22675	1680	1566	1369	1974	2205	3013	717	626	1062	19606	19953	22186	36	78	59	556	499	624	1332	1163	1287	203	149	270	10542	10137	13466
1357916	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. QXT-31	1665	2952	812	1029	1102	1207	1204	2023	1761	2251	2216	2814	2404	6864	9418	8826	609	709	589	1131	889	1211	797	663	955	4643	3777	4762	63	46	140	246	172	242	467	322	313	245	259	273	1084	817	1097
2830667	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. USTB-05	2562	3695	900	944	1175	1185	1195	1878	1908	2708	2724	3507	3445	14022	18078	18329	501	482	510	775	831	1159	1106	660	1659	4885	3830	4977	51	51	76	214	179	222	421	442	361	383	339	639	941	914	1008
2933562	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. GC21	11605	16591	12317	13650	9788	9265	9110	12391	12207	13295	13362	15437	11203	12829	14518	12160	12507	12336	11165	14162	14435	16590	17645	12700	13846	17093	15114	15575	527	1161	426	4490	5120	5224	8209	7951	6790	10078	9290	12237	8665	9298	9835
1866325	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. MG	21605	31964	26430	23306	15836	16602	16457	19563	22648	25144	23317	30392	23133	38565	50742	51358	20091	21951	21034	25808	21197	24661	23049	20715	26209	32475	33573	37488	1767	996	1966	11132	12658	13472	16436	14186	13217	16178	14550	21143	22165	20177	23977
2968500	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. DBS4	7042	11275	10717	10931	6090	7334	6657	8283	8471	9248	8834	9993	7083	8115	9367	8740	10166	8625	9012	10548	10004	12734	13681	9430	11613	9445	8195	8267	341	101	428	6030	6495	7666	7864	8636	7109	9781	8928	9617	5315	4590	5532
2482763	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. YF1	1455	2053	630	783	720	1005	760	1228	1330	1229	1843	2166	1985	4692	6022	6154	544	543	418	729	697	830	632	458	864	2326	1914	2113	72	55	38	227	198	238	304	318	350	291	247	381	693	663	724
2976533	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. PET50	520	944	461	580	466	524	493	623	610	698	865	865	721	1680	1957	1914	423	425	367	499	564	602	489	427	463	1363	1467	1497	0	28	0	141	200	247	347	320	186	293	220	304	616	573	580
292913	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. 113P3	2535	4030	2474	2049	2157	1883	2394	2383	2634	3322	3380	3475	3213	2863	2955	2643	1990	1934	2188	2105	2138	3163	2648	2189	3412	3654	3183	2871	671	257	228	1503	1253	1291	1435	1746	1451	1574	1209	1654	2218	1765	2054
2565556	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. PAMC25046	1259	2476	1208	1045	1015	1090	790	1263	1493	1755	1431	2208	1695	3036	3782	4090	1005	891	873	955	1333	1386	1599	1080	1525	2286	1816	2173	34	86	25	360	286	327	696	531	587	708	754	990	873	816	851
2911495	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. BSN-002	266	439	217	167	178	215	176	240	244	320	325	414	334	771	1205	1163	138	160	107	210	169	211	225	153	235	510	483	525	7	6	24	37	49	53	117	132	95	108	73	93	177	132	200
3122054	cellular organisms;Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingopyxidaceae;Sphingopyxis;unclassified Sphingopyxis;Sphingopyxis sp. J-6	330	598	242	272	290	335	269	366	438	462	502	571	478	1118	1270	1450	222	210	202	287	319	330	306	331	358	634	628	633	30	24	24	42	88	101	177	119	172	182	138	182	228	212	236
