taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_classes.report,W133-25PVC-2-17_kraken2_bracken_classes.report,W132-25PVC-1-17_kraken2_bracken_classes.report,W131-25PET-3-17_kraken2_bracken_classes.report,W130-25PET-2-17_kraken2_bracken_classes.report,W129-25PET-1-17_kraken2_bracken_classes.report,W128-25PE0.6-3-17_kraken2_bracken_classes.report,W127-25PE0.6-2-17_kraken2_bracken_classes.report,W126-25PE0.6-1-17_kraken2_bracken_classes.report,W125-25S-3-17_kraken2_bracken_classes.report,W124-25S-2-17_kraken2_bracken_classes.report,W123-25S-1-17_kraken2_bracken_classes.report,Q66-25S-3-0_kraken2_bracken_classes.report,Q65-25S-2-0_kraken2_bracken_classes.report,Q64-25S-1-0_kraken2_bracken_classes.report,Q63-25PVC-3-11_kraken2_bracken_classes.report,Q62-25PVC-2-11_kraken2_bracken_classes.report,Q61-25PVC-1-11_kraken2_bracken_classes.report,Q60-25PET-3-11_kraken2_bracken_classes.report,Q59-25PET-2-11_kraken2_bracken_classes.report,Q58-25PET-1-11_kraken2_bracken_classes.report,Q57-25PE0.6-3-11_kraken2_bracken_classes.report,Q56-25PE0.6-2-11_kraken2_bracken_classes.report,Q55-25PE0.6-1-11_kraken2_bracken_classes.report,Q54-25S-3-11_kraken2_bracken_classes.report,Q53-25S-2-11_kraken2_bracken_classes.report,Q52-25S-1-11_kraken2_bracken_classes.report,Q51-25PVC-3-3_kraken2_bracken_classes.report,Q50-25PVC-2-3_kraken2_bracken_classes.report,Q49-25PVC-1-3_kraken2_bracken_classes.report,Q48-25PET-3-3_kraken2_bracken_classes.report,Q47-25PET-2-3_kraken2_bracken_classes.report,Q46-25PET-1-3_kraken2_bracken_classes.report,Q45-25PE0.6-3-3_kraken2_bracken_classes.report,Q44-25PE0.6-2-3_kraken2_bracken_classes.report,Q43-25PE0.6-1-3_kraken2_bracken_classes.report,Q42-25S-3-3_kraken2_bracken_classes.report,Q41-25S-2-3_kraken2_bracken_classes.report,Q40-25S-1-3_kraken2_bracken_classes.report,Q34-25PE0.1-2-11_kraken2_bracken_classes.report,Q33-25PE0.1-1-11_kraken2_bracken_classes.report,Q32-25PE0.1-2-3_kraken2_bracken_classes.report,Q31-25PE0.1-1-3_kraken2_bracken_classes.report
R,1,root,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
R2,2,    Bacteria,99.29,99.12,99.12,98.9,98.81,98.85,98.72,98.97,99.12,98.7,98.64,98.68,97.82,97.75,97.72,99.62,99.63,99.62,99.27,99.36,99.37,99.35,99.35,99.4,99.17,99.14,99.26,99.58,99.59,99.46,99.27,99.42,99.27,99.25,99.2,99.2,99.0,99.02,98.96,99.34,99.28,99.4,99.16
P,976,            Bacteroidota,1.62,1.85,2.18,2.51,2.77,2.65,1.42,1.55,2.27,2.47,2.12,2.17,3.14,2.94,2.73,1.39,1.83,1.72,2.57,2.98,3.32,1.51,1.51,1.88,1.51,1.54,1.81,10.55,12.3,10.91,7.07,5.84,4.23,3.01,2.89,2.29,1.96,1.97,1.85,1.48,1.37,4.74,3.98
P,1090,            Chlorobiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1117,          Cyanobacteriota,0.09,0.08,0.12,0.15,0.2,0.2,0.16,0.19,0.21,0.31,0.28,0.28,0.64,0.67,0.67,0.06,0.06,0.06,0.13,0.14,0.14,0.14,0.14,0.14,0.19,0.19,0.18,0.06,0.06,0.08,0.12,0.11,0.14,0.15,0.16,0.15,0.19,0.19,0.2,0.13,0.13,0.12,0.14
P,1224,        Pseudomonadota,88.27,86.14,85.31,88.65,88.65,88.84,87.6,89.33,90.78,86.97,86.79,86.52,75.89,76.62,77.63,89.13,90.25,88.77,90.72,91.35,92.31,93.22,93.6,94.04,92.39,92.17,92.56,71.49,70.92,72.03,84.84,88.68,89.45,90.28,90.59,90.96,90.13,90.28,90.18,92.5,92.01,88.18,87.35
C,1236,          Gammaproteobacteria,16.72,17.26,16.91,10.59,8.81,8.65,7.23,6.26,5.45,5.38,6.12,6.66,10.46,13.66,10.82,32.17,28.72,28.55,10.58,11.94,10.64,8.49,8.58,8.12,6.41,6.39,6.65,39.96,38.39,36.38,10.22,9.93,9.13,10.36,9.3,9.04,8.17,8.18,8.14,7.86,8.24,9.35,9.99
P,1239,        Bacillota,0.88,0.83,0.83,0.18,0.19,0.18,0.39,0.29,0.32,0.75,0.57,0.68,2.41,2.03,2.18,1.31,1.01,0.74,0.19,0.2,0.16,0.17,0.2,0.16,0.28,0.41,0.25,3.09,2.75,1.54,0.3,0.13,0.21,0.19,0.2,0.3,0.27,0.27,0.28,0.25,0.26,0.22,0.23
P,1297,        Deinococcota,0.21,0.25,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.12,0.12,0.12,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.12,0.11,0.13,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04
C,1760,          Actinomycetes,7.29,8.74,9.26,5.78,5.11,5.07,6.64,5.55,4.0,5.75,6.15,6.35,11.14,10.97,10.03,7.12,5.86,7.63,4.61,3.61,2.62,3.22,2.85,2.35,3.42,3.36,3.19,13.76,12.95,14.05,5.72,3.85,4.09,4.38,4.06,4.2,4.69,4.58,4.57,3.84,4.19,5.25,5.95
R2,2157,    Archaea,0.05,0.08,0.08,0.11,0.19,0.16,0.16,0.15,0.1,0.14,0.17,0.17,0.13,0.14,0.16,0.01,0.01,0.01,0.04,0.04,0.02,0.04,0.04,0.02,0.05,0.06,0.03,0.02,0.02,0.02,0.04,0.02,0.03,0.03,0.04,0.03,0.05,0.05,0.05,0.03,0.05,0.02,0.05
R3,2323,      Bacteria incertae sedis,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,0.0,0.0
R2,2759,    Eukaryota,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
P,2836,            Bacillariophyta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K1,6072,          Eumetazoa,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
P,7711,                Chordata,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
P2,7742,                    Vertebrata,0.66,0.79,0.8,0.99,1.0,0.99,1.12,0.88,0.78,1.15,1.19,1.15,2.04,2.1,2.12,0.37,0.36,0.36,0.7,0.6,0.61,0.61,0.62,0.57,0.79,0.8,0.7,0.4,0.39,0.51,0.69,0.56,0.69,0.72,0.76,0.77,0.96,0.94,0.99,0.63,0.67,0.58,0.79
