taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_families.report,W133-25PVC-2-17_kraken2_bracken_families.report,W132-25PVC-1-17_kraken2_bracken_families.report,W131-25PET-3-17_kraken2_bracken_families.report,W130-25PET-2-17_kraken2_bracken_families.report,W129-25PET-1-17_kraken2_bracken_families.report,W128-25PE0.6-3-17_kraken2_bracken_families.report,W127-25PE0.6-2-17_kraken2_bracken_families.report,W126-25PE0.6-1-17_kraken2_bracken_families.report,W125-25S-3-17_kraken2_bracken_families.report,W124-25S-2-17_kraken2_bracken_families.report,W123-25S-1-17_kraken2_bracken_families.report,Q66-25S-3-0_kraken2_bracken_families.report,Q65-25S-2-0_kraken2_bracken_families.report,Q64-25S-1-0_kraken2_bracken_families.report,Q63-25PVC-3-11_kraken2_bracken_families.report,Q62-25PVC-2-11_kraken2_bracken_families.report,Q61-25PVC-1-11_kraken2_bracken_families.report,Q60-25PET-3-11_kraken2_bracken_families.report,Q59-25PET-2-11_kraken2_bracken_families.report,Q58-25PET-1-11_kraken2_bracken_families.report,Q57-25PE0.6-3-11_kraken2_bracken_families.report,Q56-25PE0.6-2-11_kraken2_bracken_families.report,Q55-25PE0.6-1-11_kraken2_bracken_families.report,Q54-25S-3-11_kraken2_bracken_families.report,Q53-25S-2-11_kraken2_bracken_families.report,Q52-25S-1-11_kraken2_bracken_families.report,Q51-25PVC-3-3_kraken2_bracken_families.report,Q50-25PVC-2-3_kraken2_bracken_families.report,Q49-25PVC-1-3_kraken2_bracken_families.report,Q48-25PET-3-3_kraken2_bracken_families.report,Q47-25PET-2-3_kraken2_bracken_families.report,Q46-25PET-1-3_kraken2_bracken_families.report,Q45-25PE0.6-3-3_kraken2_bracken_families.report,Q44-25PE0.6-2-3_kraken2_bracken_families.report,Q43-25PE0.6-1-3_kraken2_bracken_families.report,Q42-25S-3-3_kraken2_bracken_families.report,Q41-25S-2-3_kraken2_bracken_families.report,Q40-25S-1-3_kraken2_bracken_families.report,Q34-25PE0.1-2-11_kraken2_bracken_families.report,Q33-25PE0.1-1-11_kraken2_bracken_families.report,Q32-25PE0.1-2-3_kraken2_bracken_families.report,Q31-25PE0.1-1-3_kraken2_bracken_families.report
R,1,root,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
R2,2,    Bacteria,99.28,99.14,99.13,98.9,98.81,98.88,98.72,98.99,99.13,98.7,98.66,98.7,97.83,97.76,97.73,99.62,99.62,99.62,99.27,99.36,99.37,99.35,99.35,99.4,99.17,99.15,99.26,99.57,99.58,99.46,99.27,99.42,99.27,99.25,99.2,99.21,99.0,99.02,98.96,99.34,99.28,99.4,99.16
O,29,            Myxococcales,0.14,0.25,0.22,0.56,0.71,0.69,1.02,0.71,0.39,0.75,0.95,0.93,1.3,1.19,1.27,0.05,0.03,0.05,0.25,0.22,0.1,0.22,0.18,0.1,0.29,0.34,0.25,0.14,0.14,0.22,0.36,0.15,0.28,0.32,0.34,0.34,0.54,0.52,0.59,0.19,0.33,0.13,0.51
F,31,                Myxococcaceae,0.01,0.01,0.01,0.07,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.05,0.1,0.09,0.09,0.0,0.0,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.04,0.04,0.03,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.04,0.04,0.04,0.02,0.02,0.02,0.03
F,39,                Archangiaceae,0.0,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.04,0.05,0.04,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.02,0.01,0.02
F,49,              Polyangiaceae,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.06,0.06,0.05,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01
O,112,              Planctomycetales,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02
F,126,                Planctomycetaceae,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02
O,136,            Spirochaetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,137,              Spirochaetaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,170,              Leptospiraceae,0.0,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.03,0.01,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.01
O,356,            Hyphomicrobiales,8.19,8.33,8.27,11.1,10.35,10.32,8.76,8.42,7.5,6.31,6.96,6.5,5.31,5.9,5.45,6.5,6.19,6.31,9.99,9.68,9.71,8.99,8.94,8.85,8.92,8.77,8.32,3.48,3.4,3.99,8.84,8.91,9.15,9.64,10.0,9.99,10.78,10.91,10.62,8.73,9.27,8.9,10.09
F,403,              Methylococcaceae,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.03,0.05,0.04,0.24,0.24,0.26,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.02,0.01,0.02,0.04
F,433,              Acetobacteraceae,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.01
F,444,              Legionellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,468,              Moraxellaceae,6.93,7.53,9.95,0.08,0.06,0.03,0.11,0.15,0.13,0.04,0.04,0.06,0.45,0.38,0.44,11.43,12.28,12.34,0.1,0.02,0.02,0.18,0.19,0.16,0.02,0.02,0.01,22.32,21.95,21.55,0.16,0.04,0.03,0.3,0.32,0.26,0.17,0.11,0.03,0.07,0.04,0.13,0.08
F,481,              Neisseriaceae,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.01
F,506,              Alcaligenaceae,0.06,0.1,0.1,0.27,0.35,0.33,0.74,0.53,0.38,0.75,0.88,0.88,1.46,1.46,1.47,0.02,0.02,0.03,0.21,0.16,0.13,0.23,0.19,0.2,0.3,0.29,0.23,0.03,0.03,0.06,0.4,0.23,0.36,0.37,0.43,0.37,0.47,0.51,0.55,0.18,0.21,0.23,0.45
F,543,              Enterobacteriaceae,0.15,0.11,0.14,0.2,0.27,0.49,0.43,0.6,0.33,0.7,0.75,1.14,2.35,2.4,2.27,0.11,0.1,0.06,0.27,0.18,0.39,0.29,0.54,0.38,0.48,0.41,0.32,0.06,0.08,0.13,0.45,0.28,0.27,0.38,0.53,0.57,0.35,0.98,0.6,0.34,0.37,0.2,0.34
F,641,              Vibrionaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.15,0.0,0.01,0.01,0.01,0.01,0.01,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,712,              Pasteurellaceae,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,766,            Rickettsiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,772,              Bartonellaceae,,,0.0,,0.0,0.0,0.0,0.02,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,
F,775,              Rickettsiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,809,                Chlamydiaceae,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,
F,815,                  Bacteroidaceae,0.02,0.01,0.01,0.05,0.06,0.07,0.07,0.01,0.01,0.02,0.0,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.0,0.01,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.0
F,868,              Cardiobacteriaceae,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,
F,942,              Anaplasmataceae,,0.0,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.01,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0,,0.0,,0.0,
P,976,            Bacteroidota,1.62,1.85,2.18,2.51,2.77,2.65,1.42,1.55,2.27,2.47,2.12,2.17,3.14,2.94,2.73,1.4,1.84,1.73,2.57,2.98,3.32,1.51,1.51,1.88,1.51,1.54,1.81,10.78,12.54,10.91,7.07,5.84,4.23,3.01,2.89,2.29,1.96,1.97,1.85,1.48,1.37,4.74,3.98
F,1046,              Chromatiaceae,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
P,1090,            Chlorobiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,1106,                Chloroflexaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1117,          Cyanobacteriota,0.09,0.08,0.11,0.15,0.2,0.2,0.16,0.19,0.21,0.31,0.28,0.28,0.64,0.67,0.67,0.06,0.06,0.06,0.13,0.14,0.14,0.14,0.14,0.14,0.19,0.19,0.18,0.06,0.06,0.08,0.23,0.11,0.14,0.15,0.16,0.15,0.19,0.19,0.2,0.13,0.13,0.17,0.14
O,1118,                Chroococcales,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.01,0.01
O,1150,                Oscillatoriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,1161,              Nostocales,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01
F,1162,                Nostocaceae,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01,0.01,0.01
F,1182,                Scytonemataceae,,,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
F,1185,                Rivulariaceae,,,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,
P,1224,        Pseudomonadota,88.91,86.15,85.33,88.68,88.65,88.87,87.61,89.35,90.8,86.98,86.82,86.54,75.9,76.66,77.64,90.19,91.06,89.35,90.76,91.35,92.31,93.23,93.61,94.04,92.39,92.18,92.56,73.77,72.91,72.03,84.84,88.68,89.45,90.29,90.59,90.96,90.13,90.28,90.18,92.5,92.01,88.18,87.38
C,1236,          Gammaproteobacteria,16.88,17.26,16.92,10.59,8.81,8.65,7.23,6.26,5.45,5.38,6.12,6.65,10.47,13.68,10.82,32.6,29.02,28.77,10.58,11.93,10.64,8.49,8.58,8.12,6.41,6.39,6.65,41.42,39.64,36.38,10.22,9.93,9.13,10.36,9.3,9.04,8.17,8.18,8.14,7.86,8.24,9.35,9.99
P,1239,        Bacillota,0.16,0.15,0.17,0.14,0.19,0.18,0.39,0.29,0.32,0.75,0.57,0.68,2.4,1.99,2.18,0.13,0.12,0.09,0.14,0.19,0.16,0.17,0.2,0.16,0.28,0.41,0.25,0.13,0.15,0.09,0.19,0.13,0.21,0.19,0.2,0.3,0.27,0.27,0.28,0.25,0.26,0.18,0.2
F,1268,              Micrococcaceae,1.53,1.77,1.91,0.52,0.27,0.25,0.43,0.28,0.21,0.34,0.33,0.45,3.16,2.68,2.31,1.4,1.36,1.4,0.34,0.16,0.1,0.17,0.11,0.14,0.17,0.18,0.17,3.25,3.23,2.96,0.65,0.2,0.19,0.22,0.18,0.18,0.26,0.24,0.25,0.33,0.32,0.48,0.52
P,1297,        Deinococcota,0.22,0.25,0.22,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.13,0.12,0.12,0.02,0.01,0.0,0.01,0.01,0.01,0.01,0.0,0.0,0.13,0.11,0.13,0.04,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.04,0.04
F,1300,              Streptococcaceae,0.0,0.0,0.0,0.0,0.01,0.0,0.17,,0.0,0.01,0.0,,0.12,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,1385,            Bacillales,0.12,0.11,0.13,0.08,0.11,0.1,0.12,0.27,0.29,0.68,0.51,0.62,1.89,1.8,2.02,0.11,0.1,0.08,0.12,0.17,0.14,0.15,0.18,0.14,0.25,0.3,0.23,0.12,0.14,0.07,0.17,0.12,0.19,0.17,0.17,0.29,0.22,0.25,0.25,0.22,0.25,0.13,0.18
F,1653,              Corynebacteriaceae,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.05,0.05,0.04,0.13,0.14,0.15,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.06,0.04,0.04,0.01,0.01,0.01,0.01
C,1760,          Actinomycetes,7.35,8.74,9.26,5.79,5.11,5.07,6.64,5.55,4.0,5.75,6.15,6.35,11.14,10.98,10.03,7.21,5.92,7.69,4.62,3.61,2.62,3.22,2.85,2.35,3.42,3.36,3.19,14.16,13.29,14.05,5.72,3.85,4.09,4.38,4.07,4.2,4.69,4.58,4.57,3.84,4.19,5.25,5.96
F,1762,              Mycobacteriaceae,0.12,0.14,0.15,0.21,0.24,0.18,0.21,0.24,0.17,0.25,0.17,0.16,0.36,0.37,0.17,0.09,0.09,0.11,0.19,0.19,0.15,0.19,0.16,0.14,0.2,0.14,0.2,0.06,0.06,0.05,0.19,0.15,0.21,0.18,0.18,0.24,0.26,0.23,0.23,0.15,0.16,0.2,0.2
F,2004,              Streptosporangiaceae,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,2012,              Thermomonosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,2037,            Actinomycetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,2049,              Actinomycetaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,2062,              Streptomycetaceae,0.08,0.1,0.1,0.11,0.14,0.13,0.16,0.16,0.15,0.23,0.24,0.24,0.59,0.63,0.59,0.05,0.04,0.05,0.08,0.09,0.07,0.09,0.09,0.08,0.15,0.14,0.14,0.08,0.08,0.09,0.1,0.07,0.1,0.12,0.11,0.12,0.16,0.16,0.18,0.09,0.1,0.09,0.11
F,2070,              Pseudonocardiaceae,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.06,0.06,0.06,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02
O,2085,            Mycoplasmatales,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
F,2092,              Mycoplasmataceae,,,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
