taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_genuses.report,W133-25PVC-2-17_kraken2_bracken_genuses.report,W132-25PVC-1-17_kraken2_bracken_genuses.report,W131-25PET-3-17_kraken2_bracken_genuses.report,W130-25PET-2-17_kraken2_bracken_genuses.report,W129-25PET-1-17_kraken2_bracken_genuses.report,W128-25PE0.6-3-17_kraken2_bracken_genuses.report,W127-25PE0.6-2-17_kraken2_bracken_genuses.report,W126-25PE0.6-1-17_kraken2_bracken_genuses.report,W125-25S-3-17_kraken2_bracken_genuses.report,W124-25S-2-17_kraken2_bracken_genuses.report,W123-25S-1-17_kraken2_bracken_genuses.report,Q66-25S-3-0_kraken2_bracken_genuses.report,Q65-25S-2-0_kraken2_bracken_genuses.report,Q64-25S-1-0_kraken2_bracken_genuses.report,Q63-25PVC-3-11_kraken2_bracken_genuses.report,Q62-25PVC-2-11_kraken2_bracken_genuses.report,Q61-25PVC-1-11_kraken2_bracken_genuses.report,Q60-25PET-3-11_kraken2_bracken_genuses.report,Q59-25PET-2-11_kraken2_bracken_genuses.report,Q58-25PET-1-11_kraken2_bracken_genuses.report,Q57-25PE0.6-3-11_kraken2_bracken_genuses.report,Q56-25PE0.6-2-11_kraken2_bracken_genuses.report,Q55-25PE0.6-1-11_kraken2_bracken_genuses.report,Q54-25S-3-11_kraken2_bracken_genuses.report,Q53-25S-2-11_kraken2_bracken_genuses.report,Q52-25S-1-11_kraken2_bracken_genuses.report,Q51-25PVC-3-3_kraken2_bracken_genuses.report,Q50-25PVC-2-3_kraken2_bracken_genuses.report,Q49-25PVC-1-3_kraken2_bracken_genuses.report,Q48-25PET-3-3_kraken2_bracken_genuses.report,Q47-25PET-2-3_kraken2_bracken_genuses.report,Q46-25PET-1-3_kraken2_bracken_genuses.report,Q45-25PE0.6-3-3_kraken2_bracken_genuses.report,Q44-25PE0.6-2-3_kraken2_bracken_genuses.report,Q43-25PE0.6-1-3_kraken2_bracken_genuses.report,Q42-25S-3-3_kraken2_bracken_genuses.report,Q41-25S-2-3_kraken2_bracken_genuses.report,Q40-25S-1-3_kraken2_bracken_genuses.report,Q34-25PE0.1-2-11_kraken2_bracken_genuses.report,Q33-25PE0.1-1-11_kraken2_bracken_genuses.report,Q32-25PE0.1-2-3_kraken2_bracken_genuses.report,Q31-25PE0.1-1-3_kraken2_bracken_genuses.report
R,1,root,6651069.0,6563032.0,6366233.0,6188892.0,5290161.0,5572602.0,6433626.0,5799578.0,5607698.0,4799266.0,4265157.0,4351344.0,4415768.0,3779059.0,3853744.0,9519930.0,9067125.0,9360508.0,7220330.0,6036989.0,6951999.0,7907200.0,6591824.0,6904476.0,5678055.0,6225170.0,6300196.0,10398301.0,11591179.0,10280495.0,7220512.0,7419983.0,7140044.0,7152962.0,6705122.0,6141497.0,5929583.0,5844032.0,5778112.0,6859622.0,7010203.0,8252599.0,7156942.0
R2,2,    Bacteria,6603706.0,6505418.0,6310077.0,6120664.0,5227325.0,5508436.0,6351197.0,5739985.0,5558221.0,4737101.0,4207173.0,4294111.0,4319521.0,3694184.0,3766114.0,9483937.0,9033265.0,9325298.0,7167441.0,5998087.0,6908506.0,7855080.0,6548799.0,6863071.0,5630671.0,6171673.0,6253709.0,10354730.0,11543667.0,10225143.0,7167826.0,7376940.0,7088216.0,7099236.0,6651237.0,6092672.0,5870096.0,5786568.0,5717995.0,6814358.0,6960012.0,8203125.0,7096666.0
G,6,                Azorhizobium,,18.0,15.0,8.0,9.0,9.0,,17.0,10.0,15.0,17.0,,27.0,52.0,28.0,,,5.0,14.0,,,,,,21.0,8.0,13.0,10.0,8.0,5.0,15.0,,7.0,15.0,7.0,,9.0,39.0,,7.0,11.0,19.0,
G,10,                Cellvibrio,118.0,13.0,162.0,274.0,12.0,15.0,15.0,20.0,9.0,14.0,16.0,51.0,59.0,72.0,74.0,70.0,28.0,110.0,121.0,42.0,37.0,68.0,61.0,124.0,20.0,19.0,22.0,22.0,18.0,15.0,430.0,28.0,226.0,53.0,73.0,26.0,60.0,45.0,36.0,120.0,41.0,68.0,21.0
G,13,                Dictyoglomus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
G,16,                Methylophilus,3.0,,,,,,,,3.0,,,,8.0,9.0,2.0,,,,,,,,,,6.0,,,,,4.0,,,,,,3.0,,,,,,,
G,18,                Pelobacter,117.0,,70.0,327.0,1488.0,1460.0,2396.0,659.0,1769.0,826.0,1471.0,1183.0,2310.0,4058.0,2225.0,,25.0,54.0,726.0,236.0,,731.0,716.0,,441.0,742.0,,79.0,73.0,97.0,233.0,369.0,828.0,428.0,831.0,515.0,640.0,622.0,1164.0,357.0,264.0,203.0,933.0
G,20,                Phenylobacterium,748.0,1080.0,1043.0,501.0,493.0,508.0,894.0,600.0,463.0,411.0,534.0,459.0,964.0,849.0,828.0,851.0,636.0,1118.0,565.0,473.0,588.0,824.0,683.0,579.0,486.0,614.0,730.0,1979.0,1685.0,4230.0,1243.0,1112.0,1106.0,1125.0,948.0,878.0,866.0,952.0,859.0,717.0,653.0,1129.0,784.0
G,22,                Shewanella,8558.0,789.0,82.0,63.0,54.0,137.0,295.0,380.0,48584.0,566.0,59.0,61.0,869.0,672.0,489.0,38.0,47.0,33.0,128.0,49.0,91.0,86.0,400.0,207.0,79.0,55.0,83.0,226.0,163.0,162.0,97.0,88.0,114.0,33882.0,927.0,204.0,148.0,202.0,150.0,57.0,32.0,221.0,61.0
O,29,            Myxococcales,9073.0,16147.0,13973.0,34486.0,37648.0,38727.0,65391.0,41432.0,21836.0,35881.0,40476.0,40626.0,57288.0,44960.0,49051.0,5055.0,2996.0,4941.0,17943.0,13214.0,7073.0,17675.0,12168.0,7083.0,16639.0,21305.0,16040.0,13940.0,15588.0,22834.0,26026.0,10784.0,20294.0,22926.0,23122.0,20744.0,32294.0,30459.0,34035.0,12714.0,23107.0,10986.0,36335.0
