taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_orders.report,W133-25PVC-2-17_kraken2_bracken_orders.report,W132-25PVC-1-17_kraken2_bracken_orders.report,W131-25PET-3-17_kraken2_bracken_orders.report,W130-25PET-2-17_kraken2_bracken_orders.report,W129-25PET-1-17_kraken2_bracken_orders.report,W128-25PE0.6-3-17_kraken2_bracken_orders.report,W127-25PE0.6-2-17_kraken2_bracken_orders.report,W126-25PE0.6-1-17_kraken2_bracken_orders.report,W125-25S-3-17_kraken2_bracken_orders.report,W124-25S-2-17_kraken2_bracken_orders.report,W123-25S-1-17_kraken2_bracken_orders.report,Q66-25S-3-0_kraken2_bracken_orders.report,Q65-25S-2-0_kraken2_bracken_orders.report,Q64-25S-1-0_kraken2_bracken_orders.report,Q63-25PVC-3-11_kraken2_bracken_orders.report,Q62-25PVC-2-11_kraken2_bracken_orders.report,Q61-25PVC-1-11_kraken2_bracken_orders.report,Q60-25PET-3-11_kraken2_bracken_orders.report,Q59-25PET-2-11_kraken2_bracken_orders.report,Q58-25PET-1-11_kraken2_bracken_orders.report,Q57-25PE0.6-3-11_kraken2_bracken_orders.report,Q56-25PE0.6-2-11_kraken2_bracken_orders.report,Q55-25PE0.6-1-11_kraken2_bracken_orders.report,Q54-25S-3-11_kraken2_bracken_orders.report,Q53-25S-2-11_kraken2_bracken_orders.report,Q52-25S-1-11_kraken2_bracken_orders.report,Q51-25PVC-3-3_kraken2_bracken_orders.report,Q50-25PVC-2-3_kraken2_bracken_orders.report,Q49-25PVC-1-3_kraken2_bracken_orders.report,Q48-25PET-3-3_kraken2_bracken_orders.report,Q47-25PET-2-3_kraken2_bracken_orders.report,Q46-25PET-1-3_kraken2_bracken_orders.report,Q45-25PE0.6-3-3_kraken2_bracken_orders.report,Q44-25PE0.6-2-3_kraken2_bracken_orders.report,Q43-25PE0.6-1-3_kraken2_bracken_orders.report,Q42-25S-3-3_kraken2_bracken_orders.report,Q41-25S-2-3_kraken2_bracken_orders.report,Q40-25S-1-3_kraken2_bracken_orders.report,Q34-25PE0.1-2-11_kraken2_bracken_orders.report,Q33-25PE0.1-1-11_kraken2_bracken_orders.report,Q32-25PE0.1-2-3_kraken2_bracken_orders.report,Q31-25PE0.1-1-3_kraken2_bracken_orders.report
R,1,root,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
R2,2,    Bacteria,99.29,99.14,99.13,98.9,98.81,98.88,98.72,98.99,99.13,98.7,98.66,98.7,97.83,97.76,97.73,99.62,99.63,99.62,99.27,99.36,99.37,99.35,99.35,99.4,99.17,99.15,99.26,99.58,99.59,99.46,99.27,99.42,99.27,99.25,99.2,99.21,99.0,99.02,98.96,99.34,99.28,99.4,99.16
O,29,            Myxococcales,0.14,0.25,0.22,0.56,0.71,0.69,1.02,0.71,0.39,0.75,0.95,0.93,1.3,1.19,1.27,0.05,0.03,0.05,0.25,0.22,0.1,0.22,0.18,0.1,0.29,0.34,0.25,0.13,0.13,0.22,0.36,0.15,0.28,0.32,0.34,0.34,0.54,0.52,0.59,0.19,0.33,0.13,0.51
O,112,              Planctomycetales,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.03,0.05,0.09,0.09,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02
O,136,            Spirochaetales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O,356,            Hyphomicrobiales,8.06,8.33,8.27,11.09,10.35,10.32,8.76,8.42,7.5,6.31,6.96,6.5,5.31,5.9,5.45,6.36,6.1,6.23,9.97,9.68,9.71,8.99,8.94,8.85,8.92,8.77,8.31,3.35,3.29,3.99,8.84,8.91,9.15,9.64,10.0,9.99,10.78,10.91,10.62,8.73,9.27,8.9,10.09
O,766,            Rickettsiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,976,            Bacteroidota,1.62,1.85,2.18,2.51,2.77,2.65,1.42,1.55,2.27,2.47,2.12,2.17,3.14,2.94,2.73,1.39,1.83,1.72,2.57,2.98,3.32,1.51,1.51,1.88,1.51,1.54,1.81,10.55,12.3,10.91,7.07,5.84,4.23,3.01,2.89,2.29,1.96,1.97,1.85,1.48,1.37,4.74,3.98
P,1090,            Chlorobiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P,1117,          Cyanobacteriota,0.09,0.08,0.12,0.15,0.2,0.2,0.16,0.19,0.21,0.31,0.28,0.28,0.64,0.67,0.67,0.06,0.06,0.06,0.13,0.14,0.14,0.14,0.14,0.14,0.19,0.19,0.18,0.06,0.06,0.08,0.12,0.11,0.14,0.15,0.16,0.15,0.19,0.19,0.2,0.13,0.13,0.12,0.14
