taxlevel,taxid,taxa,W134-25PVC-3-17_kraken2_bracken_species.report,W133-25PVC-2-17_kraken2_bracken_species.report,W132-25PVC-1-17_kraken2_bracken_species.report,W131-25PET-3-17_kraken2_bracken_species.report,W130-25PET-2-17_kraken2_bracken_species.report,W129-25PET-1-17_kraken2_bracken_species.report,W128-25PE0.6-3-17_kraken2_bracken_species.report,W127-25PE0.6-2-17_kraken2_bracken_species.report,W126-25PE0.6-1-17_kraken2_bracken_species.report,W125-25S-3-17_kraken2_bracken_species.report,W124-25S-2-17_kraken2_bracken_species.report,W123-25S-1-17_kraken2_bracken_species.report,Q66-25S-3-0_kraken2_bracken_species.report,Q65-25S-2-0_kraken2_bracken_species.report,Q64-25S-1-0_kraken2_bracken_species.report,Q63-25PVC-3-11_kraken2_bracken_species.report,Q62-25PVC-2-11_kraken2_bracken_species.report,Q61-25PVC-1-11_kraken2_bracken_species.report,Q60-25PET-3-11_kraken2_bracken_species.report,Q59-25PET-2-11_kraken2_bracken_species.report,Q58-25PET-1-11_kraken2_bracken_species.report,Q57-25PE0.6-3-11_kraken2_bracken_species.report,Q56-25PE0.6-2-11_kraken2_bracken_species.report,Q55-25PE0.6-1-11_kraken2_bracken_species.report,Q54-25S-3-11_kraken2_bracken_species.report,Q53-25S-2-11_kraken2_bracken_species.report,Q52-25S-1-11_kraken2_bracken_species.report,Q51-25PVC-3-3_kraken2_bracken_species.report,Q50-25PVC-2-3_kraken2_bracken_species.report,Q49-25PVC-1-3_kraken2_bracken_species.report,Q48-25PET-3-3_kraken2_bracken_species.report,Q47-25PET-2-3_kraken2_bracken_species.report,Q46-25PET-1-3_kraken2_bracken_species.report,Q45-25PE0.6-3-3_kraken2_bracken_species.report,Q44-25PE0.6-2-3_kraken2_bracken_species.report,Q43-25PE0.6-1-3_kraken2_bracken_species.report,Q42-25S-3-3_kraken2_bracken_species.report,Q41-25S-2-3_kraken2_bracken_species.report,Q40-25S-1-3_kraken2_bracken_species.report,Q34-25PE0.1-2-11_kraken2_bracken_species.report,Q33-25PE0.1-1-11_kraken2_bracken_species.report,Q32-25PE0.1-2-3_kraken2_bracken_species.report,Q31-25PE0.1-1-3_kraken2_bracken_species.report
R,1,root,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
R2,2,    Bacteria,99.29,99.12,99.12,98.9,98.81,98.85,98.72,98.95,99.12,98.7,98.64,98.68,97.82,97.75,97.72,99.62,99.63,99.62,99.27,99.36,99.37,99.34,99.35,99.4,99.17,99.14,99.26,99.58,99.59,99.46,99.27,99.42,99.27,99.25,99.2,99.2,99.0,99.02,98.96,99.34,99.28,99.4,99.16
G,6,                Azorhizobium,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
S,7,                  Azorhizobium caulinodans,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,
S,9,                  Buchnera aphidicola,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,
G,10,                Cellvibrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S,11,                  Cellulomonas gilvus,,,0.0,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
G,16,                Methylophilus,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,
G,18,                Pelobacter,0.0,,0.0,0.01,0.03,0.03,0.04,0.01,0.03,0.02,0.03,0.03,0.05,0.11,0.06,,0.0,0.0,0.01,0.0,,0.01,0.01,,0.01,0.01,,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.0,0.0,0.01
S,19,                  Syntrophotalea carbinolica,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0
